"","scientific_name","longitude","latitude","species_observed"
"314","Aerodramus fuciphagus",134.507194,-13.520482,TRUE
"315","Aerodramus fuciphagus",131.201288,-13.519601,TRUE
"316","Aerodramus fuciphagus",132.575781,-13.498554,TRUE
"317","Aerodramus fuciphagus",131.6243471,-13.4967274,TRUE
"318","Aerodramus fuciphagus",130.8252811,-13.496431,TRUE
"319","Aerodramus fuciphagus",131.068608,-13.478884,TRUE
"320","Aerodramus fuciphagus",131.3582039,-13.4786116,TRUE
"321","Aerodramus fuciphagus",132.37632,-13.47844,TRUE
"322","Aerodramus fuciphagus",132.25766,-13.47652,TRUE
"323","Aerodramus fuciphagus",132.4623,-13.4749,TRUE
"324","Aerodramus fuciphagus",134.592991,-13.459781,TRUE
"325","Aerodramus fuciphagus",131.1682654,-13.4415997,TRUE
"326","Aerodramus fuciphagus",142.7738571,-13.4391987,TRUE
"327","Aerodramus fuciphagus",142.9415383,-13.4378629,TRUE
"328","Aerodramus fuciphagus",131.3134,-13.43704,TRUE
"329","Aerodramus fuciphagus",132.4168,-13.4336,TRUE
"330","Aerodramus fuciphagus",132.686753,-13.433329,TRUE
"331","Aerodramus fuciphagus",134.642093,-13.409974,TRUE
"332","Aerodramus fuciphagus",130.7842635,-13.4022153,TRUE
"333","Aerodramus fuciphagus",142.655275,-13.388809,TRUE
"334","Aerodramus fuciphagus",132.2716033,-13.3872238,TRUE
"335","Aerodramus fuciphagus",131.257137,-13.386385,TRUE
"336","Aerodramus fuciphagus",142.905526,-13.385953,TRUE
"337","Aerodramus fuciphagus",123.32119,-13.38267,TRUE
"338","Aerodramus fuciphagus",132.341467,-13.372358,TRUE
"339","Aerodramus fuciphagus",132.797316,-13.362139,TRUE
"340","Aerodramus fuciphagus",141.7225,-13.35583,TRUE
"341","Aerodramus fuciphagus",131.13388,-13.3525,TRUE
"342","Aerodramus fuciphagus",132.298295,-13.346414,TRUE
"343","Aerodramus fuciphagus",132.43777,-13.31833,TRUE
"344","Aerodramus fuciphagus",132.780788,-13.317191,TRUE
"345","Aerodramus fuciphagus",131.2094972,-13.314817,TRUE
"346","Aerodramus fuciphagus",130.82519,-13.29875,TRUE
"347","Aerodramus fuciphagus",132.33725,-13.29811,TRUE
"348","Aerodramus fuciphagus",132.927024,-13.296238,TRUE
"349","Aerodramus fuciphagus",123.287682,-13.293984,TRUE
"350","Aerodramus fuciphagus",131.161713,-13.276581,TRUE
"351","Aerodramus fuciphagus",142.84881,-13.27397,TRUE
"352","Aerodramus fuciphagus",132.8284729,-13.272568,TRUE
"353","Aerodramus fuciphagus",136.155715,-13.265192,TRUE
"354","Aerodramus fuciphagus",132.36791,-13.25531,TRUE
"355","Aerodramus fuciphagus",130.7522222,-13.2469444,TRUE
"356","Aerodramus fuciphagus",131.107817,-13.2401544,TRUE
"357","Aerodramus fuciphagus",131.021433,-13.2216291,TRUE
"358","Aerodramus fuciphagus",132.8164143,-13.2184672,TRUE
"359","Aerodramus fuciphagus",130.713905,-13.205307,TRUE
"360","Aerodramus fuciphagus",136.2264966,-13.2002831,TRUE
"361","Aerodramus fuciphagus",136.139439,-13.197412,TRUE
"362","Aerodramus fuciphagus",131.101462,-13.187983,TRUE
"363","Aerodramus fuciphagus",134.780199,-13.178878,TRUE
"364","Aerodramus fuciphagus",130.134375,-13.17456,TRUE
"365","Aerodramus fuciphagus",142.8871461,-13.1684912,TRUE
"366","Aerodramus fuciphagus",130.682282,-13.162925,TRUE
"367","Aerodramus fuciphagus",130.776425,-13.149649,TRUE
"368","Aerodramus fuciphagus",132.454954,-13.14058,TRUE
"369","Aerodramus fuciphagus",131.10694,-13.13889,TRUE
"370","Aerodramus fuciphagus",142.78727,-13.132936,TRUE
"371","Aerodramus fuciphagus",136.1452603,-13.1281728,TRUE
"372","Aerodramus fuciphagus",130.65398,-13.12717,TRUE
"373","Aerodramus fuciphagus",130.834319,-13.117485,TRUE
"374","Aerodramus fuciphagus",142.9907084,-13.1173173,TRUE
"375","Aerodramus fuciphagus",130.426923,-13.105875,TRUE
"376","Aerodramus fuciphagus",130.7851124,-13.0997096,TRUE
"377","Aerodramus fuciphagus",142.94083,-13.09305,TRUE
"378","Aerodramus fuciphagus",131.109473,-13.088228,TRUE
"379","Aerodramus fuciphagus",141.617993,-13.086777,TRUE
"380","Aerodramus fuciphagus",136.191972,-13.083573,TRUE
"381","Aerodramus fuciphagus",142.774589,-13.083036,TRUE
"382","Aerodramus fuciphagus",130.6986572,-13.0805043,TRUE
